,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
1108,PedroAvilaO,"Abogado Conciliador Magister en Gobernabilidad y Democracia. Promotor y constructor de las Culturas de Paz, Legalidad y Ciudadana.",BogotaDC - Colombia,612,559,40184,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 01:20:41+00:00
1109,Marcoral12,Soy una mujer autentica y divertida.,,73,31,1344,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 01:20:38+00:00
1110,JoseRaf07325767,"Creativo, humanista, curioso  y me gusta vivir la vida desde la experiencia y no creo en los paradigmas.
Sígueme y te Sigo en https://t.co/lvdCXR0CMe","Sincelejo, Colombia",5795,5417,36049,212,"Aquí con todos los formularios E-14 de la institución educativa en Pereira en la cual serví como testigo electoral cuidando los votos de Gustavo Petro y del Pacto Histórico. Viva la Democracia! #ColombiaConPetro #EleccionesColombia
#PetroPresidenteEnPrimera https://t.co/naCfdp9RXV",[],2022-05-31 01:20:37+00:00
1111,RevistaSemana,Periodismo con carácter.,Colombia,38,4933542,443588,11,"#EleccionesColombia | En diálogo con SEMANA, analiza lo que puede suceder con la elección del próximo Presidente de la República.  #ColombiaVota2022 | #PetroORodolfo https://t.co/F2NPwwjqmL","['EleccionesColombia', 'ColombiaVota2022', 'PetroORodolfo']",2022-05-31 01:20:28+00:00
1112,JhosonPatrick,,,316,158,4835,80,Con el 98% de los votos computados #EleccionesColombia  definitivamente habrá 2 vuelta entre Gustavo Petro y Rodolfo Hernandez. Felicito a nuestro equipo de jóvenes quienes asistieron a colaborar y aprender con este proceso cívico y democrático. https://t.co/YSojptDDmZ,['EleccionesColombia'],2022-05-31 01:20:27+00:00
1113,rozorod,,,59,95,7571,481,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 01:20:23+00:00
1114,JohanGarzon1,Piloto - Ing Informatico. Seeking happiness!!!,Bogota/,327,210,2242,5,"El Señor @petrogustavo no asistio a 7 Debates, pero el que atacan es @ingrodolfohdez que no fue a 2.

Hay mis Petristas... sigan pataliando!!! 
#EleccionesColombia #RodolfoHernandez #RodolfoPresidente #yolecreoalviejo","['EleccionesColombia', 'RodolfoHernandez', 'RodolfoPresidente', 'yolecreoalviejo']",2022-05-31 01:20:23+00:00
1115,J_lazz,AntiHeroe: Homero Simpsons,Barranquilla,314,132,15660,4,Me quedé pensando en este mensaje final. A mi me huele a feo la @Registraduria y sus cifras. #EleccionesColombia https://t.co/KyG83R31Rv,['EleccionesColombia'],2022-05-31 01:20:22+00:00
1116,pjtm49,"Dios y Patria. De no ser por el Sr. Presidente ÁLVARO URIBE; en el 2020, ya no tendríamos País.","Palermo, Huila, Colombia",1174,1013,62531,0,"#EleccionesColombia Ya Votamos por la libertad económica, política y social. Dios salve a Colombia. Feliz día  para todos!",['EleccionesColombia'],2022-05-31 01:20:15+00:00
1117,jorge9jimenez,,Pereira,110,25,184,381,"🚨 #Comunicado 🚨 | Lo sucedido hoy se debe registrar como la gran derrota de los partidos tradicionales que nunca han querido transformar su
manera de hacer política. @MovSalvacionNal es la nueva y verdadera opción para el centro y la derecha del pais. #EleccionesColombia https://t.co/E6wk7Jf73q",['Comunicado'],2022-05-31 01:20:14+00:00
1118,libenperseo,,,231,238,21882,86,"Enrique Gómez: “Si Gustavo Petro llega a la presidencia, no la soltará nunca” | #EleccionesColombia #ColombiaVota2022 #PetroORodolfo  https://t.co/CwOXWOB9Gu","['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 01:20:05+00:00
1119,info_nenamy,sincera,,184,20,47,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 01:20:04+00:00
1120,pichi1307,"Economista
 
💫💫",En el paraiso,280,411,79876,642,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/nPLRTod3ap,['EleccionesColombia'],2022-05-31 01:20:03+00:00
1121,TinekaIII,,,2188,1367,19009,34,#EleccionesColombia | “Lo único bueno es que el país no amaneció incendiado”: Egan Bernal | #ColombiaVota2022 https://t.co/puhK7EaLEq,"['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 01:19:59+00:00
1122,MateoBoadaM,"🎶 Cantar, 🕺💃bailar, 🎭actuar, 🏀deporte.♥️

 Instagram 👇👇","Bogotá, D.C., Colombia",169,130,640,1,"Ya eligieron a su personero de colegio, Rodolfo Hernández, ahora sí a votar por el presidente que pueda administrar un país, con propuestas reales, no un colegio con propuestas fantasiosas. #FirmeConPetro #PetroPresidente2022 #EleccionesColombia","['FirmeConPetro', 'PetroPresidente2022', 'EleccionesColombia']",2022-05-31 01:19:56+00:00
1123,Migardu1,ASESOR JURÍDICO Y LEGISLATIVO. DOCENTE UNIVERSITARIO. Qué el tiempo nos una ! Me gusta o RT no es apoyo.,"Bogotá, D.C., Colombia",4840,1177,50241,53,"🇨🇴🗳️ #EleccionesColombia 
Gustavo Petro fue el candidato más votado en 18 de las 20 localidades. 
Federico Gutiérrez, quien quedó en tercer lugar en la votación general de la capital, encabezó la elección en Usaquén y Chapinero. https://t.co/fxgUwTkW7C",['EleccionesColombia'],2022-05-31 01:19:50+00:00
1124,ivanorozcoc12,Barranquilla Colombia.,"Barranquilla, Colombia",1161,36,3689,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 01:19:38+00:00
1125,conviale,"REGRESÉ DE LOS SOTANOS DE LA TESIS 

""De todo como en botica""
 
Abogado Constitucionalista
Máster ComPol @fortegamaranon 
Doctorando MPAISC @UniversidadeUSC",,223,38,631,5,"Es un error enfrentar con grandes discursos y teorías políticas a quien entiende la política como entretenimiento.

La gente está cansada de la política y sus formas.

No se equivoquen. El terreno de combate cambió. 

#Elecciones2022 
#ColombiaDecide 
#EleccionesColombia",[],2022-05-31 01:19:37+00:00
1126,FuegianSan,"¡Administrador de empresas turísticas y hoteleras!
Amante de la historia, un buen libro, los viajes y experiencias gastronómicas!",,772,431,9177,0,"Encerrar a un colectivo de personas por ideología diferente para luego exterminarlas sistemáticamente... En qué Alemania Nazi vi eso antes...? 🤔
#EleccionesColombia #PetroPresidenteEnPrimera https://t.co/RUGDSTlzaI","['EleccionesColombia', 'PetroPresidenteEnPrimera']",2022-05-31 01:19:32+00:00
1127,Leonard78186000,Ingeniero Industrial | Especialista en Evaluación y Gerencia de Proyectos | Estudios de Posgrado en ADE |,,1117,99,9692,120,"https://t.co/PLzynIx6kj @ingrodolfohdez es el único que no permitirá que en Colombia llegue el nefasto modelo socialista fracasado de la izquierda. 
#RodolfoPresidente #EleccionesColombia",[],2022-05-31 01:19:27+00:00
1128,alfasi55,,"Cali, Colombia",366,54,6681,2612,Atención!!! Federico Gutiérrez acaba de anunciar su apoyo a Rodolfo Hernández #EleccionesColombia,['EleccionesColombia'],2022-05-31 01:19:26+00:00
1129,Badboy_1King,"-EL VERDADERO CONOCIMIENTO ES CONOCER LA EXTENSIÓN DE LA PROPIA IGNORANCIA!

-EL OBJETO DEL HOMBRE SUPERIOR ES LA VERDAD!

-TU MAYOR ENEMIGO,ERES TÚ MISMO!🫣",En infierno con Rey Leónidas🔥,16734,20626,112696,0,"He visto ésta preciosa pulsera en #instagram,alguien sabe de que marca es y dónde puedo comseguirla!

-Ya te indico yo donde está la pulsera que igual te pierdes por el camino!!!🤙🏼🤪
#MasterChef10 #ConexionHonduras6
#EleccionesColombia #ChampionsLeague #RealMadrid #ColombiaDecide https://t.co/TfFWp8J5Eu","['instagram', 'MasterChef10', 'ConexionHonduras6', 'EleccionesColombia', 'ChampionsLeague', 'RealMadrid', 'ColombiaDecide']",2022-05-31 01:19:20+00:00
1130,niwde_quintero,"04-Sep👶🏼
Opita 💛
Virgo ♍
Instagram @edwin_joan",Colombia,640,324,2882,0,Desde el paro nacional del año pasado no había visto tanto ofendido por redes sociales 🤦 #MiVotoEsSecretosky #EleccionesColombia,"['MiVotoEsSecretosky', 'EleccionesColombia']",2022-05-31 01:19:18+00:00
1131,mam4r,,,434,78,3491,660,"Señor @petrogustavo y señora @FranciaMarquezM. Ponemos a su disposición, todos nuestros conocimientos en materia de comunicación. Creemos en usted, en su campaña está el cambio. No más continuismo. #PetroPresidente2022 #EleccionesColombia",[],2022-05-31 01:19:18+00:00
1132,Dama2708,"Artista. colombiana. soñadora pérdida, romántica sin esperanza y Carolier de por vida!❤️","Bogotá, D.C., Colombia",87,179,15491,38,"“Nos levantamos con toda, no queremos dictadura”: John Milton Rodríguez sobre resultados de las presidenciales |  #EleccionesColombia #ColombiaVota2022   https://t.co/9UmiQrJgoY",[],2022-05-31 01:19:15+00:00
1133,VictorAMedinaC,Libertario....,,166,153,8102,118,"#EleccionesColombia | ""Ustedes tratar de desligar a Juan Manuel Santos… él sí es establecimiento"": le dice @MariaFdaCabal a @HOLLMANMORRIS #PetroORodolfo #ColombiaVota2022  

Vea más: https://t.co/21FySnfcUR https://t.co/RjnKA5Cdym",['EleccionesColombia'],2022-05-31 01:19:11+00:00
1134,OACB,"Cualquiera que sea tu Arte, haz bien tu parte! Mi Arte!? -Crear Sonrisas Saludables!! Soy Padre de 3 Princesas y Esposo de una Reina!","Bogotá, D.C., Colombia",323,192,20130,262,"#EleccionesColombia | ""Si ustedes hubieran ganado, hubieran ganado en primera vuelta"": le dice @MariaFdaCabal al petrismo. #PetroORodolfo #ColombiaVota2022 

Vea más: https://t.co/TBuctnJf8i https://t.co/tDvgordkCt",['EleccionesColombia'],2022-05-31 01:19:04+00:00
1135,equinmore,👈,Colombia,368,98,3464,660,"Señor @petrogustavo y señora @FranciaMarquezM. Ponemos a su disposición, todos nuestros conocimientos en materia de comunicación. Creemos en usted, en su campaña está el cambio. No más continuismo. #PetroPresidente2022 #EleccionesColombia",[],2022-05-31 01:19:02+00:00
1136,valencapatty,al fin de los tiempos todo se sabrá,,220,232,12377,1437,"#LaPrimeraVueltaFue al parecer un robo, boletines q informan en lo medios desde la app de la Registraduría presuntamente no contenían la información real, fuente de la entidad denuncia en el vídeo. Rodolfo NO tiene 5' de votos @petrogustavo @GustavoBolivar 
#EleccionesColombia https://t.co/kv11f2b587",['LaPrimeraVueltaFue'],2022-05-31 01:19:02+00:00
1137,Dmarce27j,Psicoterapeuta,,178,145,2156,660,"Señor @petrogustavo y señora @FranciaMarquezM. Ponemos a su disposición, todos nuestros conocimientos en materia de comunicación. Creemos en usted, en su campaña está el cambio. No más continuismo. #PetroPresidente2022 #EleccionesColombia",[],2022-05-31 01:18:56+00:00
1138,Rosi35520071,,,548,314,1383,758,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 01:18:55+00:00
1139,TitaGutierrezM,Mujer y ciudadana !!!,Cali,2789,494,2033,758,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 01:18:50+00:00
1140,crisr3461,siga y tómese un tintico🇨🇴 🥑🥑,,2615,1400,2625,1437,"#LaPrimeraVueltaFue al parecer un robo, boletines q informan en lo medios desde la app de la Registraduría presuntamente no contenían la información real, fuente de la entidad denuncia en el vídeo. Rodolfo NO tiene 5' de votos @petrogustavo @GustavoBolivar 
#EleccionesColombia https://t.co/kv11f2b587",['LaPrimeraVueltaFue'],2022-05-31 01:18:48+00:00
1141,flaviafrei,Investigo en @IIJUNAM y enseño en @PosgradPolitica Dirijo @ReformasLATAM y @PolisParitaria | Coordino @RedPolitologas | #AmoLaRadio🎙️ #WeAreResistance🧘‍♂️ 🐾,"Coyoacán, Ciudad de México",19303,36718,114295,9,💥🔝Este equipazo es el responsable de haber hecho durante el día de hoy (y las últimas semanas) una cobertura de excelencia sobre las #EleccionesColombia y no puedo estar más orgullosa de cada unx de ellxs. #GraciasTotales @ReformasLATAM https://t.co/xDhK20hK6f,[],2022-05-31 01:18:48+00:00
1142,DennisR05801024,"el “ojo por ojo” solo conseguirá hacer el mundo ciego, Ghandi. Para la Paz todo, para la guerra nada",,1194,1179,102876,115,"Ayudenme con un RT

A varias personas nos citaron como jurados en otras ciudades y al llegar a los puestos dice la @Registraduria que sacaron una resolución para exonerar pero que no nos dejan votar donde fuimos designados sino donde se registró la cédula.

#EleccionesColombia https://t.co/P8MWrblEMf",[],2022-05-31 01:18:42+00:00
1143,jdmorart,Political Scientist. Colombian-American. Dad. Analyst.,"Florida, USA",1129,47,2291,0,Elecciones en Colombia: el huracán electoral que barrió a los políticos tradicionales (incluido el uribismo) - BBC News Mundo #eleccionescolombia  https://t.co/LjiJmFDAp8,['eleccionescolombia'],2022-05-31 01:18:41+00:00
1144,kurrunga,,"Medellín, Colombia",55,254,78303,91,#EleccionesColombia | “Ella es todo para mí”: la conmovedora historia de amor entre Socorro Oliveros y Rodolfo Hernández | #ColombiaVota2022 | #PetroORodolfo https://t.co/qPd6pdsBDb,['EleccionesColombia'],2022-05-31 01:18:40+00:00
1145,olivalencia,"nacido en recóndita aldea compañero de lecho de lasmáshermosasmujeres asesor de sabios y ladrones
 ejercido comomédicopoetaylotero.Enresumen Hombre de sueños",,230,88,15578,16,"#EleccionesColombia | “No es tan fácil venezolanizar a Colombia”, afirma el historiador y académico inglés Malcolm Deas | #ColombiaVota2022 | #PetroORodolfo https://t.co/xcQDc79zLb",['EleccionesColombia'],2022-05-31 01:18:37+00:00
1146,grajeda_mario,,,2551,645,23577,6,#EleccionesColombia   - Gustavo Petro y Rodolfo Hernández disputarán la segunda vuelta de las elecciones presidenciales de Colombia el 19 de junio. Según preconteo Gustavo Petro 40% de votos y Rodolfo Hernández 28% de votos.,['EleccionesColombia'],2022-05-31 01:18:28+00:00
1147,oscarortegasc,"Economista Industrial ,analista politico y financiero,imparcial;a cesar lo que es del cesar,radicado en E.U,","New Jersey, USA",487,280,29346,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 01:18:24+00:00
1148,feli_forero,,,336,99,2773,35,"#EleccionesColombia | “Olvídense de esos cuentos que soy uribista o petrista”: Rodolfo Hernández advierte que vendrán nuevos ataques en su contra. #ColombiaVota2022 | #PetroORodolfo 
 https://t.co/wn4wqlHfCS",['EleccionesColombia'],2022-05-31 01:18:21+00:00
1149,MaryCan60483876,"Respeto, solidaridad y amor",,106,0,3,1437,"#LaPrimeraVueltaFue al parecer un robo, boletines q informan en lo medios desde la app de la Registraduría presuntamente no contenían la información real, fuente de la entidad denuncia en el vídeo. Rodolfo NO tiene 5' de votos @petrogustavo @GustavoBolivar 
#EleccionesColombia https://t.co/kv11f2b587",['LaPrimeraVueltaFue'],2022-05-31 01:18:18+00:00
1150,voceroprovincia,El Vocero de la Provincia es un semanario que informa sobre el desarrollo del Distrito de Santa Marta y  los municipios del Magdalena. Directora Josefita Orozco,Santa Marta Colombia,1478,3569,11483,0,"Apartes del discurso de Rodolfo Hernández, al saber que pasa a 2ª vuelta https://t.co/SDCqREAWrm a través de @voceroprovincia 
@ingrodolfohdez @RHpresidente 
#Politica #EleccionesColombia #ColombiaDecide","['Politica', 'EleccionesColombia', 'ColombiaDecide']",2022-05-31 01:18:18+00:00
1151,oscarle72756666,,,1221,133,37258,67,"Ojo Colombianos son pequeños detalles a petro se le “olvidó” la cédula, como será administrando ? #EleccionesColombia https://t.co/zGwSME4kzs",['EleccionesColombia'],2022-05-31 01:18:17+00:00
1152,natillacon3448,retweteare por vida mia,,1683,703,40536,3,"@smilelalis Mujer: en 2da vuelta nuestro voto será decisivo, poderoso ¿cuánto tiempo nos tomó el poder votar? El machismo no nos permitía ni votar ni estudiar
El 19.6 quedará claro dónde queremos q sea nuestro lugar si en la U y la oficina o la cocina
#EleccionesColombia
#LaPrimeraVueltaFue",[],2022-05-31 01:18:04+00:00
1153,jmanum3,"Yo soy yo, no me parezco a nadie.",Charallave,4906,4575,196069,1,"Medellín Perdidos Iván Duque #EleccionesColombia #Elecciones2022, #EleccionesPresidenciales Cota 905 Boric Bogotá #PetroPresidenteEnPrimera Luis Díaz Le Pen Comunismo #Oaxaca Rodolfo Hernández Chávez #MonacoGP Verstappen Daniela Alvarado Schumacher Macron Vinicius https://t.co/woQmevOsbt","['EleccionesColombia', 'Elecciones2022', 'EleccionesPresidenciales']",2022-05-31 01:17:58+00:00
1154,Th3_Grizzly,"Que se acabe el mundo
yo no vine pa' perder",Cayey,782,197,5435,0,"Un debate es hablar mierda, por qué no se fijan en el desempeño de sus mandatos como alcaldes, nivel de aprobación,  ejecución de planes...
#EleccionesColombia",['EleccionesColombia'],2022-05-31 01:17:57+00:00
1155,OliVasquez,,"ï¿½T: 10.503787,-66.851398",222,124,2298,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 01:17:52+00:00
1156,oscar__triana,"Filmmaker // Animador, ilustrador, diseñador. Hago cortos. Star Wars in a Notebook, Zapatos, En medio de la nada. Google knows.  #illustration #art #animation",,1290,378,7191,53,"🇨🇴🗳️ #EleccionesColombia 
Gustavo Petro fue el candidato más votado en 18 de las 20 localidades. 
Federico Gutiérrez, quien quedó en tercer lugar en la votación general de la capital, encabezó la elección en Usaquén y Chapinero. https://t.co/fxgUwTkW7C",['EleccionesColombia'],2022-05-31 01:17:45+00:00
1157,DASanchez_23,100% Girardoteño e hincha del VERDE!! Ingeniero financiero de profesión.,Colombia,1031,458,10280,0,"El equipo del @ingrodolfohdez , 13 chinitos como les dice el, jóvenes entre mujeres y hombres, el viejito cada día me convence más. #RodolfoPresidente #ElViejitoYSusChinitos #EleccionesColombia https://t.co/7rmue9xwal","['RodolfoPresidente', 'ElViejitoYSusChinitos', 'EleccionesColombia']",2022-05-31 01:17:44+00:00
1158,ruedachuchov,"progresista, en contrá de la corrupción, y a favor de las verdaderas políticas diseñadas para los más necesitados",,309,170,11606,89,"🇨🇴 | COLOMBIA VOTA: ¿Por cuál candidato votaría usted para la segunda vuelta del 19 de junio?

#EleccionesColombia",['EleccionesColombia'],2022-05-31 01:17:42+00:00
1159,IluminacionMr,M.D 100tfko,"San Francisco, CA",1936,1803,21992,1,"Más de un siglo echado a la basura
Doña Alicia y rodolfico
#EleccionesColombia https://t.co/AYKu5Z1A46",['EleccionesColombia'],2022-05-31 01:17:27+00:00
1160,abarcaje,,,677,56,553,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 01:17:26+00:00
1161,jdmorart,Political Scientist. Colombian-American. Dad. Analyst.,"Florida, USA",1129,47,2291,0,El candidato a la presidencia de Colombia parece tener muchas propuestas en mente y cree que puede realizarlas. Éste hilo se encargará de comprobar si lo que dice es cierto o romperá sus promesas como los políticos y empresarios tradicionales 🗳🇨🇴 #EleccionesColombia https://t.co/DN5k4MLV4X,['EleccionesColombia'],2022-05-31 01:17:25+00:00
1162,Alexander_PC,Las opiniones aquí vertidas son pura y exclusivamente personales y no deben tomarse muy en cuenta.,"Cartagena, Colombia",829,404,10104,0,"Hoy 24 horas después de los resultados, más que confirmado.
#EleccionesColombia https://t.co/g0KbQmWAqu",['EleccionesColombia'],2022-05-31 01:17:22+00:00
1163,Edwinfcs10,Solo soy alguien apasionado por el futbol y las mujeres solo estoy aqui para dar mi opinion ;),"Soacha, Colombia",17,1,228,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 01:17:04+00:00
1164,RaquelN57315659,la vida es bella Jesucristo te ama.,,656,761,36284,86,"Enrique Gómez: “Si Gustavo Petro llega a la presidencia, no la soltará nunca” | #EleccionesColombia #ColombiaVota2022 #PetroORodolfo  https://t.co/CwOXWOB9Gu","['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 01:17:03+00:00
1165,hernan_alavrez,Fundador de una excelente empresa lider al servicio de la comunidad. Siempre por la Derecha y la Justicia. Todo a la Izquierda da Negativo. Matematica Simple.,,70,14,732,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 01:17:01+00:00
1166,jowalbe,jowalbe@hotmail.com,,236,232,30864,481,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 01:16:52+00:00
1167,GRR_18,"Antiuribista. 
               
                    Psicóloga, mamá y lectora.
                                  Yo soy el fuego que arde contra el frío.",,936,1599,16571,758,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 01:16:48+00:00
1168,inmsu,"Madre de jóvenes, dedicada al sector inmobibliario. Amo la gente sincera, honesta. Eternamente agradecida con nuestro gran expresidente, Alvaro Uribe Velez",Cali- Medellín,5266,4791,129126,140,"Y para qué necesitamos el plan de gobierno del viejito Rodolfo, si nos sabemos de memoria el de Petro?

#CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 01:16:48+00:00
1169,ojgarciac17,,,195,282,76425,2,#EleccionesColombia | Un país muy dividido: así es la Colombia que recibe el próximo presidente  | #ColombiaVota2022 | #PetroORodolfo https://t.co/32PKGYNGBj,"['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 01:16:46+00:00
1170,LiduvinaGmez1,,,234,48,241,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 01:16:45+00:00
1171,LabradaAudrey,"AMOR INFINITO POR MIS BBS 🙋🏻‍♀️🐶🐶🐶💝
TODO TIENE UN LÍMITE 🇨🇴VAMOS COLOMBIA💛💙❤🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴",,1601,1578,61978,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 01:16:40+00:00
1172,MedinaBAlvaro,"Te asesoro con tu presentaciones de negocios en Inglés. Ejecutivo Nu Skin, los expertos en anti envejecimiento: La Tendencia Mundial.","Buenos Aires, Argentina",1584,622,34604,15,Sin tapujos: la entrevista de Rodolfo Hernández en ‘Soho’ en su apartamento de 4.300 millones | #EleccionesColombia #ColombiaVota2022 #PetroORodolfo  https://t.co/7CrlqwaMCn,['EleccionesColombia'],2022-05-31 01:16:37+00:00
1173,JLUNACRUZ,,"Bogotá, D.C., Colombia",126,14,479,758,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 01:16:35+00:00
1174,JorgeVinicioCh1,"Apasionado de la vida sin injusticias, Empresario que aprendió a levantarse  con más fuerza cuando se cae y no lucro del más necesitado ellos también necesitan","Quito, Ecuador",662,643,150131,2,".@selenelo1711:""Los resultados de las #EleccionesColombia evidencian que cada vez es más difícil predecir la forma de votación.. #RodolfoHernandez es la sorpresa de las elecciones""
#APrimeraHora
@radiosonorama https://t.co/SWv7E9gPWx",['EleccionesColombia'],2022-05-31 01:16:25+00:00
1175,AndresAnapo,"curioso, lector,añoranza por Rojas Pinilla, Bogotano de nacimiento, calentano de crianza","Bogotá, D.C., Colombia",1576,631,74487,15,Mire este mapa ya contado con todos los municipios del país. El Pacto Histórico ESTA EN TODOS LOS DEPARTAMENTOS. La región Andina es la que debemos quitar votos al Rodolfo. #EleccionesColombia #PactoHistórico #YoVotoPetroPresidente #FranciaMarquezVicepresidenta https://t.co/EfsS7LlIum,[],2022-05-31 01:16:23+00:00
1176,Y2J5PEEPS,"Me gusta el Arte 🎨🖌✏el Fútbol⚽️🥅🏆🥇🏟 y la Animación💻🎬,Aficionado del América de Cali😈👹 y Atlético de Madrid🏧🔴⚪🔴",Hortaleza-Madrid-España,2082,99,8212,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 01:16:19+00:00
1177,4kCAIAFFA,,BARRANQUILLA,295,95,1248,481,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 01:15:56+00:00
1178,adcorrea2011,,,319,125,904,86,"Enrique Gómez: “Si Gustavo Petro llega a la presidencia, no la soltará nunca” | #EleccionesColombia #ColombiaVota2022 #PetroORodolfo  https://t.co/CwOXWOB9Gu","['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 01:15:56+00:00
1179,li_lengua,Soy estilista y cosmetologa profecional siganme y los sigo,"Santa Marta, Colombia",65,12,185,57,"No ganamos en primera, es muy probable que perdemos con Rodolfo Hernández.

La mayoría de la gente siente más empatía con un atarvan como Hernández que con una persona brillante y decente como Petro. 
#EleccionesColombia
#PetroPresidenteEnPrimera",[],2022-05-31 01:15:50+00:00
